time;vx;ax;vy;ay;vz;az;;;Standing by (on table) with Updated Kalman Filter;;;;;;;;;;
0;0;0;0;0;0;0;;;;;;;;;;;;;
0,1;-0,4;-3,6;-0,2;-1,9;0,2;2,1;;;;;;;;;;;;;
0,2;-0,4;-4,7;-0,3;-3,5;0,3;3;;;;;;;;;;;;;
0,3;-0,3;-0,5;-0,3;-3,9;0,5;12,9;;;;;;;;;;;;;
0,4;-0,4;-4,6;-0,3;-3,7;0,5;4,5;;;;;;;;;;;;;
0,5;-0,3;1,8;-0,3;-3,6;0,5;6,4;;;;;;;;;;;;;
0,6;-0,2;-0,9;-0,4;-5,2;0,6;7,7;;;;;;;;;;;;;
0,7;-0,3;-3,1;-0,3;-2,3;0,5;2,3;;;;;;;;;;;;;
0,8;-0,2;-0,7;-0,3;-2,1;0,5;4,5;;;;;;;;;;;;;
0,9;-0,2;-2,3;-0,3;-4,1;0,5;5,5;;;;;;;;;;;;;
1;-0,2;-0,1;-0,3;-1,9;0,6;8,9;;;;;;;;;;;;;
1,1;-0,2;3,4;-0,3;-3,6;0,5;4,2;;;;;;;;;;;;;
1,2;-0,2;-3,5;-0,3;-4,2;0,5;5,6;;;;;;;;;;;;;
1,3;-0,1;3,4;-0,3;-5,5;0,5;-2,6;;;;;;;;;;;;;
1,4;-0,1;0,6;-0,3;-1,8;0,5;6,3;;;;;;;;;;;;;
1,5;-0,1;0,3;-0,3;-4,8;0,5;5,8;;;;;;;;;;;;;
1,6;-0,1;4,3;-0,3;-4,3;0,5;0,4;;;;;;;;;;;;;
1,7;-0,1;-3,3;-0,4;-4,5;0,5;2,2;;;;;;;;;;;;;
1,8;-0,1;-0,1;-0,3;-1,7;0,4;2,9;;;;;;;;;;;;;
1,9;-0,1;-3,7;-0,3;-3,7;0,5;8;;;;;;;;;;;;;
2;-0,1;0,3;-0,3;-1,6;0,4;-2,1;;;;;;;;;;;;;
2,1;-0,1;-5,6;-0,3;-5,4;0,4;8;;;;;;;;;;;;;
2,2;-0,1;-0,3;-0,3;-2,5;0,4;4,8;;;;;;;;;;;;;
2,3;-0,1;-0,6;-0,3;-2;0,5;6,5;;;;;;;;;;;;;
2,4;-0,1;-2,7;-0,3;-2,8;0,5;8,8;;;;;;;;;;;;;
2,5;-0,1;-2,7;-0,3;-1,9;0,5;1,9;;;;;;;;;;;;;
2,6;-0,1;0,4;-0,3;-1,3;0,4;-3,3;;;;;;;;;;;;;
2,7;-0,1;2,1;-0,3;-2,3;0,4;5,7;;;;;;;;;;;;;
2,8;-0,1;2,5;-0,3;-5,1;0,4;-1;;;;;;;;;;;;;
2,9;-0,1;2,6;-0,3;-1,8;0,4;6,1;;;;;;;;;;;;;
3;-0,1;4,6;-0,3;-0,8;0,4;7;;;;;;;;;;;;;
3,1;-0,1;-1,5;-0,3;-3;0,5;9;;;;;;;;;;;;;
3,2;-0,1;1,1;-0,3;-8;0,4;-1,3;;;;;;;;;;;;;
3,3;-0,1;0,4;-0,3;-0,5;0,4;2,2;;;;;;;;;;;;;
3,4;0;3,2;-0,3;-4,2;0,4;9,5;;;;;;;;;;;;;
3,5;0;5,8;-0,3;-1,8;0,4;5;;;;;;;;;;;;;
3,6;0;1;-0,3;-0,7;0,5;7,3;;;;;;;;;;;;;
3,7;0;-2,1;-0,3;-4,4;0,5;5,9;;;;;;;;;;;;;
3,8;0;2,4;-0,3;1,8;0,4;1,3;;;;;;;;;;;;;
3,9;0;3,7;-0,3;-4,2;0,4;3,5;;;;;;;;;;;;;
4;0;4,3;-0,3;-0,8;0,4;-5,6;;;;;;;;;;;;;
4,1;0;4,1;-0,3;-3;0,4;2;;;;;;;;;;;;;
4,2;0;-0,9;-0,3;-3,6;0,4;0,4;;;;;;;;;;;;;
4,3;0;-0,7;-0,3;-3;0,4;0,4;;;;;;;;;;;;;
4,4;0;1,8;-0,3;-1,4;0,4;5,5;;;;;;;;;;;;;
4,5;0;3,2;-0,3;-1,9;0,4;4,9;;;;;;;;;;;;;
4,6;0;-2,3;-0,3;-2,8;0,4;5,4;;;;;;;;;;;;;
4,7;0;-4;-0,3;-0,6;0,4;8,5;;;;;;;;;;;;;
4,8;0;-4,7;-0,3;-7,5;0,4;4,5;;;;;;;;;;;;;
4,9;0;1;-0,3;-0,7;0,4;3,5;;;;;;;;;;;;;
5;0;3,1;-0,3;-2,5;0,4;9,7;;;;;;;;;;;;;
5,1;0;-0,5;-0,3;-6,2;0,4;6,4;;;;;;;;;;;;;
5,2;0;-2,5;-0,3;-2,5;0,4;4,3;;;;;;;;;;;;;
5,3;0;0,8;-0,3;-5,7;0,4;4,7;;;;;;;;;;;;;
5,4;0;0,7;-0,3;0,4;0,4;6,7;;;;;;;;;;;;;
5,5;0;0,8;-0,3;-3,6;0,4;1,6;;;;;;;;;;;;;
5,6;0;-2,2;-0,3;-4,2;0,4;7,4;;;;;;;;;;;;;
5,7;0;1,7;-0,3;0,7;0,4;-2,9;;;;;;;;;;;;;
5,8;0;0,5;-0,3;-0,6;0,4;1,4;;;;;;;;;;;;;
5,9;0;1,5;-0,3;-3,5;0,4;6,2;;;;;;;;;;;;;
6;0;-4,4;-0,3;-4,8;0,4;10,1;;;;;;;;;;;;;
6,1;0;-0,4;-0,3;-1,7;0,5;9,4;;;;;;;;;;;;;
6,2;0;3,3;-0,3;-3,5;0,5;4,9;;;;;;;;;;;;;
6,3;0;-3,9;-0,3;-3,8;0,5;5;;;;;;;;;;;;;
6,4;0;0,8;-0,3;-2,9;0,4;1,4;;;;;;;;;;;;;
6,5;0;-5,8;-0,3;-5,6;0,4;3,5;;;;;;;;;;;;;
6,6;0;2,1;-0,3;-2;0,4;6,3;;;;;;;;;;;;;
6,7;0;5,3;-0,3;-1,2;0,4;4,1;;;;;;;;;;;;;
6,8;0;-4,1;-0,3;-2,5;0,5;5,8;;;;;;;;;;;;;
6,9;0;0,7;-0,3;-1,5;0,4;-2,4;;;;;;;;;;;;;
7;0;-3,4;-0,3;-3,1;0,4;-5,3;;;;;;;;;;;;;
7,1;0;0,3;-0,3;-1,9;0,4;4;;;;;;;;;;;;;
7,2;0;-1,2;-0,3;-1,2;0,4;8,6;;;;;;;;;;;;;
7,3;0;-0,8;-0,3;0;0,4;-2,8;;;;;;;;;;;;;
7,4;0;3,7;-0,3;0,6;0,4;-2,4;;;;;;;;;;;;;
7,5;0;0,7;-0,3;-5;0,4;2,1;;;;;;;;;;;;;
7,6;0;-3,3;-0,3;0,5;0,4;3,6;;;;;;;;;;;;;
7,7;0;-0,1;-0,3;-3,7;0,4;3,2;;;;;;;;;;;;;
7,8;0;0,2;-0,3;-3;0,4;3,1;;;;;;;;;;;;;
7,9;0;2,6;-0,3;-3,6;0,3;2;;;;;;;;;;;;;
8;0;-1,2;-0,3;-1,5;0,4;7,1;;;;;;;;;;;;;
8,1;0;1;-0,3;-5,6;0,4;4,9;;;;;;;;;;;;;
8,2;0;0,3;-0,3;0,4;0,4;4,8;;;;;;;;;;;;;
8,3;0;-0,6;-0,3;-1,5;0,4;5,7;;;;;;;;;;;;;
8,4;0;0,6;-0,3;-3;0,4;3,6;;;;;;;;;;;;;
8,5;0;-0,1;-0,3;-3,6;0,4;4,8;;;;;;;;;;;;;
8,6;0;1,2;-0,3;-0,4;0,4;12,9;;;;;;;;;;;;;
8,7;0;-3,8;-0,3;0,5;0,4;7,6;;;;;;;;;;;;;
8,8;0;-2,8;-0,3;-4,8;0,4;7,3;;;;;;;;;;;;;
8,9;0;3,2;-0,3;-4,2;0,4;6,2;;;;;;;;;;;;;
